"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.443387550979721,0.381658186221905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.556612449020279,0.618341813778095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.0162553064474275,NA,NA,NA,NA,NA,NA,0.927869775386107,0.229647506191651,0.4114363136965,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379384162487878,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00976761525897402,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.0158619691898221,NA,NA,NA,0.724781558959608,0,0.0512601347637816,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0107688108989626,NA,NA,NA,NA,0,0.062508287152015,0.128836440119503
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183913624696409,NA,NA,NA
"phyt",NA,NA,0.708415393010978,NA,NA,NA,NA,NA,NA,0.072130224613893,0.770352493808349,0.209179523815622,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.707529919935142,0.150617686397223,0.828603915296854,0.380276546228367,0.142936381318461,NA,NA,NA,NA,NA,NA,NA,0.00818888172381966
"carnzoo",NA,NA,NA,NA,NA,NA,0.270394599486562,0.300145979281871,0.328333124611365,NA,NA,NA,NA,0.726879811739894,0,0.658678624488688
"fishplar",NA,NA,NA,0.00583447220585996,NA,NA,0.128617804132414,0.466068236990546,0.0979751292851307,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0319880459046053,NA,NA,0.0847125869491582,0.0908494024091223,0.00469069003041957,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.360071826059163,NA,NA,NA,NA,0.273120188260106,0.133042490376826,0.0107179049223214
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.029443180774024,NA,NA,NA,NA,0,0.0448784173582672,0.160106733750177
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00245889761281494,NA,NA,NA,NA,0,0.70831067034911,0.033471414995491
"benthslar",NA,NA,0.00365261311184461,0.159485561298419,0.602920472230354,0.114767756027758,0.0494174180044024,0,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.27167668742975,0.0951620006559735,0.246461841372422,0.0566283286753885,0.0865810451990953,0,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.117751324004807,NA,NA,NA,0.247059463311777,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0326450475334905,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
