Gear_name,Gear_code,Habitat_s0,Habitat_s1,Habitat_s2,Habitat_s3,Habitat_d0,Habitat_d1,Habitat_d2,Habitat_d3,Habitat_DO
Bottom_longline,LLdem,0.007952286,0,0,0.003976143,0.546719682,0.103379722,0.30417495,0,0.033797217
Pots_traps_harvesting,PTH,1,0,0,0,0,0,0,0,0
Drifting_deepwater_longline,LLdrift,0,0,0,0,0,0,0,0,1
Handline,HL,0.248908297,0,0.043668122,0.008733624,0.410480349,0.026200873,0.205240175,0.017467249,0.026200873
Jigging,JIG,0.457267284,0.002177463,0.176918889,0.363636364,0,0,0,0,0
Pelagic_longline_regional,LLpelR,0,0,0,0,0.003740032,0.003861377,0.002850053,0.000100001,0.989448537
Pole_and_line,PoL,0.051551957,6.75E-05,0.006882591,0.006612686,0.108164642,0.015924426,0.032726046,0.011336032,0.766734143
Purse_seine,PS,0.548888834,0.00092476,0.156552915,0.293633491,0,0,0,0,0
Pelagic_longline_mainland,LLpelM,0,0,0,0,0.003740032,0.003861377,0.002850053,0.000100001,0.989448537
Pelagic_longline_foreign,LLpelF,0,0,0,0,0.00143093,0.003023935,0.000357041,0,0.995188093
NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0
