Gear_name,Gear_code,Discardrate_PF,Discardrate_DF,Discardrate_MF,Discardrate_FDB,Discardrate_CSB,Discardrate_CZ,Discardrate_BD,Discardrate_SL,Discardrate_CT,Discardrate_KP
Artisanal,Asl,0.014200178,0.247289795,0.194963404,0.005874815,0.071938307,0.010652553,1,1,1,1
Beam_trawls,BmT,0.730326365,0.406635062,0.951482656,0.164394592,0.824373699,0.04750366,1,1,1,1
Bottom_otter_trawls,BOT,0.941663125,0.156650142,0.583544456,0.05,0.057133058,0.062379675,1,1,1,1
Dredges,Drd,0,0.06629152,0,0.084375794,0.903457404,0,1,1,1,1
Drifting_and_handlines,DH,0,0,2.37859E-05,0,0,0,1,1,1,1
Fly_dragging_and_anchor_seine,FdAs,0,0.067641303,0.00479845,0,0,0,1,1,1,1
Gillnets_and_longlines,GL,0,0.009290113,0.47623839,0,0.005868927,0,1,1,1,1
Kelp_harvesting,Kelp,0,0.035389888,0,0.040112028,0.52347651,0,1,1,1,0
Mid_water_trawl,MwT,7.93563E-05,0.014567675,0.002567471,0,0,0,1,1,1,1
Nephrops_trawls,NT,0.965740942,0.19921093,0.808818246,0.058658286,0.05858532,0.041564149,1,1,1,1
Pots,Pots,0,0.00094036,0,0,0,0,1,1,1,1
Purse_seine,PS,0,0.000151383,0,0,0,0,1,1,1,1
