"Gear_name","Gear_code","Activity_.s.m2.d.","Plough_rate_.m2.s."
"Artisanal","Asl",2.69594167471473e-05,0
"Beam_trawls","BmT",7.64966132509358e-06,54.1
"Bottom_otter_trawls","BOT",2.48356459204714e-05,17.1
"Dredges","Drd",1.81417957981065e-06,22.4
"Drifting_and_handlines","DH",1.83821626149978e-07,0
"Fly_dragging_and_anchor_seine","FdAs",1.79356149187453e-06,22.4
"Gillnets_and_longlines","GL",7.77971445456655e-06,0
"Kelp_harvesting","Kelp",1.96157797967203e-06,0
"Mid_water_trawl","MwT",1.13701567754145e-06,0
"Nephrops_trawls","NT",1.29159645215966e-05,78.9
"Pots","Pots",1.92694937845337e-05,0
"Purse_seine","PS",1.23554188582731e-06,0
