"Gear_name","Gear_code","Power_PF","Power_DF","Power_MF","Power_FDB","Power_CSB","Power_CZ","Power_BD","Power_SL","Power_CT","Power_KP"
"midwater trawl","MWT",0,2869162.47420774,0,0,0,0,0,0,0,0
"nets including small scale","NTS",2.78744422140552,5.91313016430259,5.39678399733228,0.329774125973509,0.193834421660238,0.00690604531604881,0,0,0,0
"pole and line","TPL",0,0.0179155985886433,6.83842294361023,0,0,0,0,0,0,0
"squid jig","SJ",0,0,0,0,0,17.6011300421251,0,0,0,0
"longline","LL",0.0282762982327414,1.71484432379299,4.46975368146303,0,0,0,0.0106115519472521,0,0,0
"purse seine","PS",44324.3689962573,0,0,0,0,0,0,0,0,0
"demersal trawl","DMT",0,523.053831114076,0,0,0,0,0.00111012983944579,0,0,0
"WC Rock Lobster traps","WCRLT",0,0,0,0,7.95290568453433,0,0,0,0,0
"recreational fishing gear","RFG",0.00657603790396693,0.0108629463123626,0,0,0.000281592486985222,0,0,0,0,0
"small scale lines","SSL",0.00477255352452779,0.2744742886204,0.13851045851226,0,0,0,0,0,0,0
"subsistence fishing gear","SBF",0.0141363239095767,0.0339543253231498,0,0.00136880405774867,0,0.00342201014437168,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
